iter	Passed	Remaining
0	4	493
1	9	455
2	13	441
3	18	432
4	22	430
5	26	418
6	30	409
7	35	408
8	40	408
9	44	399
10	48	390
11	52	383
12	56	374
13	60	371
14	64	366
15	68	362
16	73	359
17	78	355
18	81	349
19	87	348
20	92	347
21	96	341
22	100	337
23	105	333
24	109	329
25	113	323
26	118	320
27	122	315
28	126	310
29	130	305
30	134	299
31	139	295
32	143	290
33	147	285
34	152	282
35	156	278
36	160	273
37	165	270
38	169	265
39	173	260
40	178	256
41	182	251
42	186	247
43	190	242
44	196	239
45	200	234
46	205	231
47	209	227
48	214	223
49	219	219
50	223	214
51	227	209
52	232	206
53	237	202
54	241	197
55	246	193
56	250	188
57	255	184
58	259	180
59	263	175
60	268	171
61	272	166
62	276	162
63	280	157
64	286	154
65	290	149
66	294	144
67	298	140
68	302	135
69	306	131
70	310	126
71	314	122
72	319	118
73	323	113
74	328	109
75	331	104
76	335	100
77	339	95
78	343	91
79	347	86
80	351	82
81	354	77
82	359	73
83	364	69
84	368	65
85	373	60
86	378	56
87	382	52
88	387	47
89	391	43
90	395	39
91	400	34
92	405	30
93	409	26
94	414	21
95	419	17
96	423	13
97	427	8
98	431	4
99	435	0
